Season;Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1
2023-2024;Federico Valverde;uyURU;MF;25;37;33;2904;32,3;2;7;9;2;0;0;2;0;3,5;3,5;5,8;9,3;104;231;102;0,06;0,22;0,28;0,06;0,28;0,11;0,18;0,29;0,11;0,29
2023-2024;Antonio Rüdiger;deGER;DF;30;33;30;2709;30,1;1;0;1;1;0;0;7;0;1,5;1,5;1,2;2,6;17;88;1;0,03;0;0,03;0,03;0,03;0,05;0,04;0,09;0,05;0,09
2023-2024;Rodrygo;brBRA;FW;22;34;28;2380;26,4;10;5;15;10;0;1;2;0;11,7;10,9;4;14,9;159;90;301;0,38;0,19;0,57;0,38;0,57;0,44;0,15;0,59;0,41;0,56
2023-2024;Jude Bellingham;engENG;MF;20;28;27;2315;25,7;19;6;25;18;1;1;5;1;11,1;10,3;5,3;15,6;85;196;177;0,74;0,23;0,97;0,7;0,93;0,43;0,21;0,64;0,4;0,61
2023-2024;Dani Carvajal;esESP;DF;31;28;25;2171;24,1;4;3;7;4;0;0;5;1;1,7;1,7;2,7;4,4;30;82;168;0,17;0,12;0,29;0,17;0,29;0,07;0,11;0,18;0,07;0,18
2023-2024;Toni Kroos;deGER;MF;33;33;24;2124;23,6;1;8;9;1;0;0;3;0;1,6;1,6;4,9;6,5;32;290;29;0,04;0,34;0,38;0,04;0,38;0,07;0,21;0,28;0,07;0,28
2023-2024;Aurélien Tchouaméni;frFRA;MF;23;27;22;1987;22,1;3;1;4;3;0;0;7;0;1,3;1,3;0,9;2,1;28;111;15;0,14;0,05;0,18;0,14;0,18;0,06;0,04;0,1;0,06;0,1
2023-2024;Aurélien Tchouaméni;frFRA;DF;23;27;22;1987;22,1;3;1;4;3;0;0;7;0;1,3;1,3;0,9;2,1;28;111;15;0,14;0,05;0,18;0,14;0,18;0,06;0,04;0,1;0,06;0,1
2023-2024;Vinicius Júnior;brBRA;FW;23;26;22;1864;20,7;15;5;20;14;1;1;7;0;13,1;12,3;4,2;16,6;137;57;277;0,72;0,24;0,97;0,68;0,92;0,63;0,21;0,84;0,59;0,8
2023-2024;Andriy Lunin;uaUKR;GK;24;21;21;1890;21;0;0;0;0;0;0;2;0;0;0;0,3;0,3;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0,01
2023-2024;Eduardo Camavinga;frFRA;MF;20;31;21;1817;20,2;0;2;2;0;0;0;9;0;0,9;0,9;1,4;2,3;49;106;31;0;0,1;0,1;0;0,1;0,05;0,07;0,11;0,05;0,11
2023-2024;Eduardo Camavinga;frFRA;DF;20;31;21;1817;20,2;0;2;2;0;0;0;9;0;0,9;0,9;1,4;2,3;49;106;31;0;0,1;0,1;0;0,1;0,05;0,07;0,11;0,05;0,11
