Season;Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls.1;Ast.1;G+A.1;G-PK.1;G+A-PK;xG.1;xAG.1;xG+xAG;npxG.1;npxG+xAG.1
2023-2024;Iñaki Peña;esESP;GK;24;10;10;900;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023-2024;Sergi Roberto;esESP;MF;31;14;10;860;9,6;3;2;5;3;0;0;4;0;1,7;1,7;0,8;2,4;13;50;33;0,31;0,21;0,52;0,31;0,52;0,18;0,08;0,26;0,18;0,26
2023-2024;Sergi Roberto;esESP;DF;31;14;10;860;9,6;3;2;5;3;0;0;4;0;1,7;1,7;0,8;2,4;13;50;33;0,31;0,21;0,52;0,31;0,52;0,18;0,08;0,26;0,18;0,26
2023-2024;Héctor Fort;esESP;DF;16;7;4;318;3,5;0;2;2;0;0;0;0;0;0;0;0,8;0,8;3;7;38;0;0,57;0,57;0;0,57;0;0,23;0,23;0;0,23
2023-2024;Marcos Alonso;esESP;DF;32;5;3;252;2,8;0;0;0;0;0;0;0;0;0,1;0,1;0,5;0,6;11;14;33;0;0;0;0;0;0,03;0,18;0,21;0,03;0,21
2023-2024;Vitor Roque;brBRA;FW;18;14;2;328;3,6;2;0;2;2;0;0;4;1;2,5;2,5;0;2,6;12;2;26;0,55;0;0,55;0,55;0,55;0,7;0,01;0,71;0,7;0,71
2023-2024;Marc Guiu;esESP;FW;17;3;1;74;0,8;1;0;1;1;0;0;1;0;0,8;0,8;0,3;1;1;1;8;1,22;0;1,22;1,22;1,22;0,92;0,32;1,24;0,92;1,24
2023-2024;Marc Guiu;esESP;MF;17;3;1;74;0,8;1;0;1;1;0;0;1;0;0,8;0,8;0,3;1;1;1;8;1,22;0;1,22;1,22;1,22;0,92;0,32;1,24;0,92;1,24
2023-2024;Abde Ezzalzouli;maMAR;FW;21;2;0;68;0,8;0;0;0;0;0;0;0;0;0,2;0,2;0,1;0,3;7;1;12;0;0;0;0;0;0,28;0,09;0,37;0,28;0,37
2023-2024;Abde Ezzalzouli;maMAR;MF;21;2;0;68;0,8;0;0;0;0;0;0;0;0;0,2;0,2;0,1;0,3;7;1;12;0;0;0;0;0;0,28;0,09;0,37;0,28;0,37
2023-2024;Eric García;esESP;DF;22;2;0;57;0,6;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;0;0;0,07;0;0,07;0,07;0,07
2023-2024;Ansu Fati;esESP;MF;20;3;0;50;0,6;0;0;0;0;0;0;0;0;0,7;0,7;0;0,7;6;4;5;0;0;0;0;0;1,34;0;1,34;1,34;1,34
2023-2024;Ansu Fati;esESP;FW;20;3;0;50;0,6;0;0;0;0;0;0;0;0;0,7;0,7;0;0,7;6;4;5;0;0;0;0;0;1,34;0;1,34;1,34;1,34
2023-2024;Marc Casado;esESP;MF;19;2;0;15;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Pedri;esESP;MF;21;37;35;2879;32;4;5;9;4;0;0;3;0;2,2;2,2;7,4;9,6;92;360;136;0,13;0,16;0,28;0,13;0,28;0,07;0,23;0,3;0,07;0,3
2024-2025;Raphinha;brBRA;FW;27;36;32;2839;31,5;18;9;27;16;2;2;4;0;19,2;17,6;12,7;30,3;94;135;349;0,57;0,29;0,86;0,51;0,79;0,61;0,4;1,01;0,56;0,96
2024-2025;Raphinha;brBRA;MF;27;36;32;2839;31,5;18;9;27;16;2;2;4;0;19,2;17,6;12,7;30,3;94;135;349;0,57;0,29;0,86;0,51;0,79;0,61;0,4;1,01;0,56;0,96
2024-2025;Robert Lewandowski;plPOL;FW;35;34;32;2667;29,6;27;2;29;24;3;4;1;0;27,1;24;2,3;26,3;27;48;164;0,91;0,07;0,98;0,81;0,88;0,92;0,08;0,99;0,81;0,89
2024-2025;Lamine Yamal;esESP;FW;17;35;31;2856;31,7;9;13;22;9;0;0;3;0;9,8;9,8;13,9;23,8;181;160;433;0,28;0,41;0,69;0,28;0,69;0,31;0,44;0,75;0,31;0,75
2024-2025;Pau Cubarsí;esESP;DF;17;35;29;2618;29,1;0;3;3;0;0;0;3;0;0,8;0,8;1,6;2,5;26;191;6;0;0,1;0,1;0;0,1;0,03;0,06;0,08;0,03;0,08
2024-2025;Jules Koundé;frFRA;DF;25;32;29;2605;28,9;2;3;5;2;0;0;4;0;1,8;1,8;3,9;5,7;44;165;190;0,07;0,1;0,17;0,07;0,17;0,06;0,13;0,2;0,06;0,2
2024-2025;Iñigo Martínez;esESP;DF;33;28;28;2490;27,7;0;4;4;0;0;0;5;0;0,5;0,5;2,6;3,1;70;260;11;0;0,14;0,14;0;0,14;0,02;0,1;0,11;0,02;0,11
2024-2025;Alejandro Balde;esESP;DF;20;32;26;2284;25,4;0;4;4;0;0;0;2;0;0,5;0,5;3,4;3,9;107;93;246;0;0,16;0,16;0;0,16;0,02;0,13;0,15;0,02;0,15
2024-2025;Marc Casado;esESP;MF;20;23;20;1611;17,9;1;3;4;1;0;0;4;1;1,1;1,1;1,4;2,4;12;107;24;0,06;0,17;0,22;0,06;0,22;0,06;0,08;0,13;0,06;0,13
2024-2025;Iñaki Peña;esESP;GK;25;16;15;1396;15,5;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Wojciech Szczęsny;plPOL;GK;34;15;15;1350;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Eric García;esESP;DF;23;29;14;1566;17,4;2;3;5;2;0;0;4;0;2,3;2,3;0,8;3,1;18;109;22;0,11;0,17;0,29;0,11;0,29;0,13;0,05;0,18;0,13;0,18
2024-2025;Eric García;esESP;MF;23;29;14;1566;17,4;2;3;5;2;0;0;4;0;2,3;2,3;0,8;3,1;18;109;22;0,11;0,17;0,29;0,11;0,29;0,13;0,05;0,18;0,13;0,18
2024-2025;Gavi;esESP;MF;19;26;14;1085;12,1;1;1;2;1;0;0;4;0;0,9;0,9;1,6;2,4;13;77;42;0,08;0,08;0,17;0,08;0,17;0,07;0,13;0,2;0,07;0,2
2024-2025;Gavi;esESP;FW;19;26;14;1085;12,1;1;1;2;1;0;0;4;0;0,9;0,9;1,6;2,4;13;77;42;0,08;0,08;0,17;0,08;0,17;0,07;0,13;0,2;0,07;0,2
2024-2025;Dani Olmo;esESP;MF;26;25;13;1212;13,5;10;3;13;8;2;2;1;0;6,5;4,9;3;7,9;33;81;97;0,74;0,22;0,97;0,59;0,82;0,48;0,22;0,7;0,37;0,59
2024-2025;Dani Olmo;esESP;FW;26;25;13;1212;13,5;10;3;13;8;2;2;1;0;6,5;4,9;3;7,9;33;81;97;0,74;0,22;0,97;0,59;0,82;0,48;0,22;0,7;0,37;0,59
2024-2025;Fermin López;esESP;MF;21;28;12;1252;13,9;6;5;11;6;0;0;4;1;5,6;5,6;3,9;9,5;31;79;108;0,43;0,36;0,79;0,43;0,79;0,41;0,28;0,69;0,41;0,69
2024-2025;Fermin López;esESP;FW;21;28;12;1252;13,9;6;5;11;6;0;0;4;1;5,6;5,6;3,9;9,5;31;79;108;0,43;0,36;0,79;0,43;0,79;0,41;0,28;0,69;0,41;0,69
2024-2025;Ferrán Torres;esESP;FW;24;27;12;1106;12,3;10;6;16;10;0;0;1;1;8;8;3,1;11;23;35;98;0,81;0,49;1,3;0,81;1,3;0,65;0,25;0,9;0,65;0,9
2024-2025;Ferrán Torres;esESP;MF;24;27;12;1106;12,3;10;6;16;10;0;0;1;1;8;8;3,1;11;23;35;98;0,81;0,49;1,3;0,81;1,3;0,65;0,25;0,9;0,65;0,9
2024-2025;Gerard Martín;esESP;DF;22;28;11;1038;11,5;1;3;4;1;0;0;2;0;0,5;0,5;1,1;1,6;10;40;122;0,09;0,26;0,35;0,09;0,35;0,04;0,1;0,14;0,04;0,14
2024-2025;Ronald Araújo;uyURU;DF;25;12;11;754;8,4;1;1;2;1;0;0;3;0;1;1;0,4;1,4;6;49;3;0,12;0,12;0,24;0,12;0,24;0,11;0,05;0,17;0,11;0,17
2024-2025;Frenkie de Jong;nlNED;MF;27;26;9;1143;12,7;2;2;4;2;0;0;3;0;0,7;0,7;2;2,6;36;120;24;0,16;0,16;0,31;0,16;0,31;0,05;0,16;0,21;0,05;0,21
2024-2025;Marc-André ter Stegen;deGER;GK;32;8;8;674;7,5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
2024-2025;Héctor Fort;esESP;DF;17;17;5;585;6,5;0;0;0;0;0;0;2;0;0,2;0,2;0,9;1,1;14;26;33;0;0;0;0;0;0,04;0,13;0,17;0,04;0,17
2024-2025;Pablo Torre;esESP;MF;21;10;4;310;3,4;3;1;4;3;0;0;0;0;0,4;0,4;0,8;1,1;5;17;20;0,87;0,29;1,16;0,87;1,16;0,11;0,23;0,33;0,11;0,33
2024-2025;Pablo Torre;esESP;FW;21;10;4;310;3,4;3;1;4;3;0;0;0;0;0,4;0,4;0,8;1,1;5;17;20;0,87;0,29;1,16;0,87;1,16;0,11;0,23;0,33;0,11;0,33
2024-2025;Marc Bernal;esESP;MF;17;3;3;242;2,7;0;0;0;0;0;0;2;0;0,1;0,1;0;0,1;0;8;2;0;0;0;0;0;0,03;0,01;0,03;0,03;0,03
2024-2025;Ansu Fati;esESP;FW;21;6;3;233;2,6;0;0;0;0;0;0;1;0;1;1;0,2;1,1;7;6;32;0;0;0;0;0;0,38;0,06;0,44;0,38;0,44
2024-2025;Pau Victor;esESP;FW;22;21;2;319;3,5;2;1;3;2;0;0;2;0;3;3;0,9;3,9;6;11;28;0,56;0,28;0,85;0,56;0,85;0,85;0,24;1,09;0,85;1,09
2024-2025;Andreas Christensen;dkDEN;DF;28;5;2;254;2,8;0;0;0;0;0;0;3;0;0;0;0;0,1;1;15;1;0;0;0;0;0;0,01;0,01;0,02;0,01;0,02
2024-2025;Sergi Dominguez;esESP;DF;19;3;2;172;1,9;0;0;0;0;0;0;1;0;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0;0;0
2024-2025;Daniel Rodriguez;esESP;FW;18;1;1;37;0,4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;9;0;0;0;0;0;0,06;0;0,06;0,06;0,06
